"Dose","MTDFreq","Npat","Noverall","DLTRate","Design","Scenario"
"AllToxic",0,0,29.817,0.186135426099205,"BOIN_EarlyStop","Steep"
"10",0.014,3.942,29.817,0.186135426099205,"BOIN_EarlyStop","Steep"
"25",0.07,5.892,29.817,0.186135426099205,"BOIN_EarlyStop","Steep"
"50",0.389,9.03,29.817,0.186135426099205,"BOIN_EarlyStop","Steep"
"100",0.48,7.824,29.817,0.186135426099205,"BOIN_EarlyStop","Steep"
"200",0.047,2.79,29.817,0.186135426099205,"BOIN_EarlyStop","Steep"
"400",0,0.333,29.817,0.186135426099205,"BOIN_EarlyStop","Steep"
"800",0,0.006,29.817,0.186135426099205,"BOIN_EarlyStop","Steep"
"AllToxic",0,0,45,0.203,"BOIN","Steep"
"10",0,4.155,45,0.203,"BOIN","Steep"
"25",0.023,6.897,45,0.203,"BOIN","Steep"
"50",0.358,14.88,45,0.203,"BOIN","Steep"
"100",0.555,14.547,45,0.203,"BOIN","Steep"
"200",0.064,4.062,45,0.203,"BOIN","Steep"
"400",0,0.45,45,0.203,"BOIN","Steep"
"800",0,0.009,45,0.203,"BOIN","Steep"
"AllToxic",0,0,32.574,0.161110087800086,"BOIN_EarlyStop","SShape"
"10",0.001,3.15,32.574,0.161110087800086,"BOIN_EarlyStop","SShape"
"25",0,3.252,32.574,0.161110087800086,"BOIN_EarlyStop","SShape"
"50",0.002,3.648,32.574,0.161110087800086,"BOIN_EarlyStop","SShape"
"100",0.116,7.767,32.574,0.161110087800086,"BOIN_EarlyStop","SShape"
"200",0.847,10.599,32.574,0.161110087800086,"BOIN_EarlyStop","SShape"
"400",0.032,3.936,32.574,0.161110087800086,"BOIN_EarlyStop","SShape"
"800",0.002,0.222,32.574,0.161110087800086,"BOIN_EarlyStop","SShape"
"AllToxic",0,0,45,0.180933333333333,"BOIN","SShape"
"10",0,3.186,45,0.180933333333333,"BOIN","SShape"
"25",0,3.321,45,0.180933333333333,"BOIN","SShape"
"50",0,3.732,45,0.180933333333333,"BOIN","SShape"
"100",0.105,9.849,45,0.180933333333333,"BOIN","SShape"
"200",0.865,19.677,45,0.180933333333333,"BOIN","SShape"
"400",0.03,4.989,45,0.180933333333333,"BOIN","SShape"
"800",0,0.246,45,0.180933333333333,"BOIN","SShape"
"AllToxic",0,0,34.902,0.144805455274769,"BOIN_EarlyStop","Flat"
"10",0,3.003,34.902,0.144805455274769,"BOIN_EarlyStop","Flat"
"25",0,3.048,34.902,0.144805455274769,"BOIN_EarlyStop","Flat"
"50",0,3.24,34.902,0.144805455274769,"BOIN_EarlyStop","Flat"
"100",0.007,3.984,34.902,0.144805455274769,"BOIN_EarlyStop","Flat"
"200",0.194,8.37,34.902,0.144805455274769,"BOIN_EarlyStop","Flat"
"400",0.754,9.777,34.902,0.144805455274769,"BOIN_EarlyStop","Flat"
"800",0.045,3.48,34.902,0.144805455274769,"BOIN_EarlyStop","Flat"
"AllToxic",0,0,45,0.165022222222222,"BOIN","Flat"
"10",0,3.006,45,0.165022222222222,"BOIN","Flat"
"25",0,3.048,45,0.165022222222222,"BOIN","Flat"
"50",0,3.282,45,0.165022222222222,"BOIN","Flat"
"100",0.002,4.236,45,0.165022222222222,"BOIN","Flat"
"200",0.16,10.482,45,0.165022222222222,"BOIN","Flat"
"400",0.799,16.494,45,0.165022222222222,"BOIN","Flat"
"800",0.039,4.452,45,0.165022222222222,"BOIN","Flat"
"AllToxic",0,0,27.123,0.0335877299708734,"BOIN_EarlyStop","AllSafe"
"10",0.001,3.15,27.123,0.0335877299708734,"BOIN_EarlyStop","AllSafe"
"25",0.002,3.204,27.123,0.0335877299708734,"BOIN_EarlyStop","AllSafe"
"50",0.002,3.279,27.123,0.0335877299708734,"BOIN_EarlyStop","AllSafe"
"100",0.002,3.447,27.123,0.0335877299708734,"BOIN_EarlyStop","AllSafe"
"200",0.011,3.666,27.123,0.0335877299708734,"BOIN_EarlyStop","AllSafe"
"400",0.024,4.305,27.123,0.0335877299708734,"BOIN_EarlyStop","AllSafe"
"800",0.958,6.072,27.123,0.0335877299708734,"BOIN_EarlyStop","AllSafe"
"AllToxic",0,0,45,0.0505777777777778,"BOIN","AllSafe"
"10",0,3.165,45,0.0505777777777778,"BOIN","AllSafe"
"25",0,3.231,45,0.0505777777777778,"BOIN","AllSafe"
"50",0,3.294,45,0.0505777777777778,"BOIN","AllSafe"
"100",0,3.408,45,0.0505777777777778,"BOIN","AllSafe"
"200",0.001,3.618,45,0.0505777777777778,"BOIN","AllSafe"
"400",0.008,4.446,45,0.0505777777777778,"BOIN","AllSafe"
"800",0.991,23.838,45,0.0505777777777778,"BOIN","AllSafe"
"AllToxic",0.216,0,9.021,0.401840150759339,"BOIN_EarlyStop","AllToxic"
"10",0.724,6.48,9.021,0.401840150759339,"BOIN_EarlyStop","AllToxic"
"25",0.044,1.893,9.021,0.401840150759339,"BOIN_EarlyStop","AllToxic"
"50",0.012,0.489,9.021,0.401840150759339,"BOIN_EarlyStop","AllToxic"
"100",0.003,0.126,9.021,0.401840150759339,"BOIN_EarlyStop","AllToxic"
"200",0.001,0.024,9.021,0.401840150759339,"BOIN_EarlyStop","AllToxic"
"400",0,0.009,9.021,0.401840150759339,"BOIN_EarlyStop","AllToxic"
"800",0,0,9.021,0.401840150759339,"BOIN_EarlyStop","AllToxic"
"AllToxic",0.773,0,23.736,0.400952140208965,"BOIN","AllToxic"
"10",0.195,20.13,23.736,0.400952140208965,"BOIN","AllToxic"
"25",0.024,2.841,23.736,0.400952140208965,"BOIN","AllToxic"
"50",0.006,0.633,23.736,0.400952140208965,"BOIN","AllToxic"
"100",0.002,0.096,23.736,0.400952140208965,"BOIN","AllToxic"
"200",0,0.033,23.736,0.400952140208965,"BOIN","AllToxic"
"400",0,0.003,23.736,0.400952140208965,"BOIN","AllToxic"
"800",0,0,23.736,0.400952140208965,"BOIN","AllToxic"
