Sim,Dose,Rate
1,10,0.03673888421494548
1,25,0.07842103309192254
1,50,0.11681384869479515
1,100,0.15799590122299248
1,200,0.2699682593338641
1,400,0.2753318504617266
1,800,0.2928326495470138
2,10,0.030402383618554303
2,25,0.05628840773781325
2,50,0.08648995957830509
2,100,0.20220265831715462
2,200,0.2647339181469953
2,400,0.6303108694156357
2,800,0.6860022575352078
3,10,0.0739503330994656
3,25,0.17154100547995169
3,50,0.18831067871525173
3,100,0.24943542080926862
3,200,0.4182293298754992
3,400,0.6196993364578177
3,800,0.771432776806495
4,10,0.022412284989536027
4,25,0.05237335494906735
4,50,0.1458268631013185
4,100,0.21505949867848168
4,200,0.2220463127995048
4,400,0.24616899189516891
4,800,0.3274910254395975
5,10,0.050898254221903645
5,25,0.09387207467559947
5,50,0.09729740086989361
5,100,0.11427614829128431
5,200,0.14652434030270625
5,400,0.1655949019060468
5,800,0.20794792341241056
6,10,0.22838191423314191
6,25,0.4548075103543141
6,50,0.4591630122578645
6,100,0.4721651255027652
6,200,0.7587859970712764
6,400,0.80209091671707
6,800,0.8823018952913556
7,10,0.061875866587846065
7,25,0.10769448792090186
7,50,0.1375208955742583
7,100,0.18176482587433923
7,200,0.1897670013670493
7,400,0.23170754725624967
7,800,0.45042386402847573
8,10,0.04699518136097349
8,25,0.2189547546053756
8,50,0.28006289175635946
8,100,0.3082169736969006
8,200,0.3209079946553239
8,400,0.562712919448748
8,800,0.5879660934604
9,10,0.04165848017290244
9,25,0.05986297018329714
9,50,0.41659203489535346
9,100,0.4556934473791701
9,200,0.6891665304263468
9,400,0.7085451925544073
9,800,0.9543282797835343
10,10,0.04505469942065077
10,25,0.08723409499656617
10,50,0.1338019900427548
10,100,0.17554677523589318
10,200,0.23820375621619563
10,400,0.7454635738058415
10,800,0.8505643570561074
11,10,0.014239117896651127
11,25,0.01649193923457598
11,50,0.07687187796714527
11,100,0.39798772810171107
11,200,0.3997477358477446
11,400,0.6012002935972326
11,800,0.8593735336432994
12,10,0.3285803425377581
12,25,0.4507475100917695
12,50,0.4902853062067337
12,100,0.5909671721422691
12,200,0.6656790749460759
12,400,0.6761805349396314
12,800,0.7310982143716206
13,10,0.17865320133971013
13,25,0.2336175070174371
13,50,0.2955492899225952
13,100,0.4346481679200325
13,200,0.6454117771575251
13,400,0.672305035716106
13,800,0.9358728976729418
14,10,0.020390368332457824
14,25,0.05350891676829755
14,50,0.05568743621851208
14,100,0.15512608122464186
14,200,0.20694786054484643
14,400,0.26968840344780287
14,800,0.40929489255991763
15,10,0.11687491718271283
15,25,0.15684157307527322
15,50,0.2092438647669614
15,100,0.2768252768973676
