Dose,MTDFreq,Npat,Design,Scenario
10,0,3.012,0,AllSafe
25,0,3.03,0,AllSafe
50,0,3.285,0,AllSafe
100,0.001,5.382,0,AllSafe
200,0.005,3.594,0,AllSafe
400,0.021,4.014,0,AllSafe
800,0.095,20.841,0,AllSafe
-1,0.017,NA,0,AllSafe
999999,0.861,NA,0,AllSafe
10,0,3.012,1,AllSafe
25,0,3.006,1,AllSafe
50,0,3,1,AllSafe
100,0.001,3.372,1,AllSafe
200,0.005,3.3,1,AllSafe
400,0.017,3.636,1,AllSafe
800,0.134,23.205,1,AllSafe
-1,0.017,NA,1,AllSafe
999999,0.826,NA,1,AllSafe
10,0,3.01201201201201,2,AllSafe
25,0,3.03003003003003,2,AllSafe
50,0,3.26426426426426,2,AllSafe
100,0.001001001001001,3.70870870870871,2,AllSafe
200,0.004004004004004,3.57657657657658,2,AllSafe
400,0.018018018018018,4.01801801801802,2,AllSafe
800,0.119119119119119,22.2012012012012,2,AllSafe
-1,0.017017017017017,NA,2,AllSafe
999999,0.840840840840841,NA,2,AllSafe
10,0,3,3,AllSafe
25,0,2.958,3,AllSafe
50,0,2.97,3,AllSafe
100,0,2.973,3,AllSafe
200,0.005,3.03,3,AllSafe
400,0.02,3.255,3,AllSafe
800,0.151,23.856,3,AllSafe
-1,0.017,NA,3,AllSafe
999999,0.807,NA,3,AllSafe
10,0,3,4,AllSafe
25,0,2.95791583166333,4,AllSafe
50,0,2.97294589178357,4,AllSafe
100,0,3.03006012024048,4,AllSafe
200,0.00601202404809619,3.06312625250501,4,AllSafe
400,0.0160320641282565,3.33366733466934,4,AllSafe
800,0.151302605210421,23.74749498998,4,AllSafe
-1,0.0170340681362725,NA,4,AllSafe
999999,0.809619238476954,NA,4,AllSafe
