"Dose","MTDFreq","Npat","Noverall","DLTRate","Design","Scenario"
"AllToxic",0,0,22.023,0.167960768287699,"KBD_EarlyStop","Steep"
"10",0.014,3.954,22.023,0.167960768287699,"KBD_EarlyStop","Steep"
"25",0.109,5.115,22.023,0.167960768287699,"KBD_EarlyStop","Steep"
"50",0.393,6.174,22.023,0.167960768287699,"KBD_EarlyStop","Steep"
"100",0.398,4.773,22.023,0.167960768287699,"KBD_EarlyStop","Steep"
"200",0.082,1.773,22.023,0.167960768287699,"KBD_EarlyStop","Steep"
"400",0.004,0.234,22.023,0.167960768287699,"KBD_EarlyStop","Steep"
"800",0,0,22.023,0.167960768287699,"KBD_EarlyStop","Steep"
"AllToxic",0,0,45,0.200666666666667,"KBD","Steep"
"10",0,4.158,45,0.200666666666667,"KBD","Steep"
"25",0.026,6.999,45,0.200666666666667,"KBD","Steep"
"50",0.355,15.105,45,0.200666666666667,"KBD","Steep"
"100",0.547,14.421,45,0.200666666666667,"KBD","Steep"
"200",0.072,3.876,45,0.200666666666667,"KBD","Steep"
"400",0,0.432,45,0.200666666666667,"KBD","Steep"
"800",0,0.009,45,0.200666666666667,"KBD","Steep"
"AllToxic",0,0,26.355,0.143691899070385,"KBD_EarlyStop","SShape"
"10",0.002,3.168,26.355,0.143691899070385,"KBD_EarlyStop","SShape"
"25",0.003,3.24,26.355,0.143691899070385,"KBD_EarlyStop","SShape"
"50",0.004,3.582,26.355,0.143691899070385,"KBD_EarlyStop","SShape"
"100",0.164,6.06,26.355,0.143691899070385,"KBD_EarlyStop","SShape"
"200",0.73,7.215,26.355,0.143691899070385,"KBD_EarlyStop","SShape"
"400",0.096,2.88,26.355,0.143691899070385,"KBD_EarlyStop","SShape"
"800",0.001,0.21,26.355,0.143691899070385,"KBD_EarlyStop","SShape"
"AllToxic",0,0,45,0.178622222222222,"KBD","SShape"
"10",0,3.186,45,0.178622222222222,"KBD","SShape"
"25",0,3.324,45,0.178622222222222,"KBD","SShape"
"50",0,3.735,45,0.178622222222222,"KBD","SShape"
"100",0.106,9.843,45,0.178622222222222,"KBD","SShape"
"200",0.862,19.98,45,0.178622222222222,"KBD","SShape"
"400",0.031,4.701,45,0.178622222222222,"KBD","SShape"
"800",0.001,0.231,45,0.178622222222222,"KBD","SShape"
"AllToxic",0,0,28.788,0.128491037932472,"KBD_EarlyStop","Flat"
"10",0,3.009,28.788,0.128491037932472,"KBD_EarlyStop","Flat"
"25",0,3.051,28.788,0.128491037932472,"KBD_EarlyStop","Flat"
"50",0,3.183,28.788,0.128491037932472,"KBD_EarlyStop","Flat"
"100",0.013,3.888,28.788,0.128491037932472,"KBD_EarlyStop","Flat"
"200",0.247,6.264,28.788,0.128491037932472,"KBD_EarlyStop","Flat"
"400",0.649,6.729,28.788,0.128491037932472,"KBD_EarlyStop","Flat"
"800",0.091,2.664,28.788,0.128491037932472,"KBD_EarlyStop","Flat"
"AllToxic",0,0,45,0.163222222222222,"KBD","Flat"
"10",0,3.006,45,0.163222222222222,"KBD","Flat"
"25",0,3.048,45,0.163222222222222,"KBD","Flat"
"50",0,3.282,45,0.163222222222222,"KBD","Flat"
"100",0.003,4.242,45,0.163222222222222,"KBD","Flat"
"200",0.159,10.53,45,0.163222222222222,"KBD","Flat"
"400",0.797,16.644,45,0.163222222222222,"KBD","Flat"
"800",0.041,4.248,45,0.163222222222222,"KBD","Flat"
"AllToxic",0,0,28.977,0.0357179832280774,"KBD_EarlyStop","AllSafe"
"10",0.001,3.159,28.977,0.0357179832280774,"KBD_EarlyStop","AllSafe"
"25",0.003,3.174,28.977,0.0357179832280774,"KBD_EarlyStop","AllSafe"
"50",0,3.24,28.977,0.0357179832280774,"KBD_EarlyStop","AllSafe"
"100",0.004,3.363,28.977,0.0357179832280774,"KBD_EarlyStop","AllSafe"
"200",0.013,3.624,28.977,0.0357179832280774,"KBD_EarlyStop","AllSafe"
"400",0.038,4.119,28.977,0.0357179832280774,"KBD_EarlyStop","AllSafe"
"800",0.941,8.298,28.977,0.0357179832280774,"KBD_EarlyStop","AllSafe"
"AllToxic",0,0,45,0.0505777777777778,"KBD","AllSafe"
"10",0,3.165,45,0.0505777777777778,"KBD","AllSafe"
"25",0,3.234,45,0.0505777777777778,"KBD","AllSafe"
"50",0,3.294,45,0.0505777777777778,"KBD","AllSafe"
"100",0,3.408,45,0.0505777777777778,"KBD","AllSafe"
"200",0.001,3.621,45,0.0505777777777778,"KBD","AllSafe"
"400",0.009,4.449,45,0.0505777777777778,"KBD","AllSafe"
"800",0.99,23.829,45,0.0505777777777778,"KBD","AllSafe"
"AllToxic",0.312,0,9.885,0.400910470409712,"KBD_EarlyStop","AllToxic"
"10",0.617,7.875,9.885,0.400910470409712,"KBD_EarlyStop","AllToxic"
"25",0.057,1.518,9.885,0.400910470409712,"KBD_EarlyStop","AllToxic"
"50",0.01,0.39,9.885,0.400910470409712,"KBD_EarlyStop","AllToxic"
"100",0.004,0.084,9.885,0.400910470409712,"KBD_EarlyStop","AllToxic"
"200",0,0.018,9.885,0.400910470409712,"KBD_EarlyStop","AllToxic"
"400",0,0,9.885,0.400910470409712,"KBD_EarlyStop","AllToxic"
"800",0,0,9.885,0.400910470409712,"KBD_EarlyStop","AllToxic"
"AllToxic",0.774,0,23.646,0.401040345090079,"KBD","AllToxic"
"10",0.196,20.226,23.646,0.401040345090079,"KBD","AllToxic"
"25",0.024,2.709,23.646,0.401040345090079,"KBD","AllToxic"
"50",0.004,0.591,23.646,0.401040345090079,"KBD","AllToxic"
"100",0.002,0.084,23.646,0.401040345090079,"KBD","AllToxic"
"200",0,0.033,23.646,0.401040345090079,"KBD","AllToxic"
"400",0,0.003,23.646,0.401040345090079,"KBD","AllToxic"
"800",0,0,23.646,0.401040345090079,"KBD","AllToxic"
