Dose,Rate,Sim
10,0.16033184429564828,1
25,0.1604152962314595,1
50,0.20334645817888006,1
100,0.23582364391030217,1
200,0.26106422445149446,1
400,0.26319575489269875,1
800,0.2634870872960927,1
10,0.17160598810390187,2
25,0.2343125932286548,2
50,0.2346007838003169,2
100,0.23878925718390825,2
200,0.6147223132752393,2
400,0.6147335605173546,2
800,0.6548219018439754,2
10,0.08231222961064374,3
25,0.09337538207697062,3
50,0.19549838527891356,3
100,0.19628270912586998,3
200,0.29551648314875645,3
400,0.3189215186726,3
800,0.34286232703541597,3
10,0.06835084249495527,4
25,0.07054815905279364,4
50,0.1109077582041434,4
100,0.14208931412181094,4
200,0.17664273033985908,4
400,0.23944554764962933,4
800,0.5772360910775306,4
10,0.17954148296837952,5
25,0.1795994766992798,5
50,0.17975051844919618,5
100,0.1807925179167856,5
200,0.1823091232582795,5
400,0.1860112175713315,5
800,0.2683179861988309,5
10,0.31777229162787557,6
25,0.3177875240221895,6
50,0.3335899637735706,6
100,0.8413135470731192,6
200,0.8505683554216753,6
400,0.8601764935882468,6
800,0.8658341024112124,6
10,0.24981986439004164,7
25,0.26090859512140196,7
50,0.4071188586129269,7
100,0.5409352761320929,7
200,0.5623230330353168,7
400,0.6305930334691738,7
800,0.6321053241181709,7
10,0.1663419700696606,8
25,0.16770482652866983,8
50,0.21968647570831848,8
100,0.28262737526844617,8
200,0.6688518194376365,8
400,0.6805767512535863,8
800,0.7144215691976721,8
10,0.17210717919303226,9
25,0.18274302685386695,9
50,0.23344274212487107,9
100,0.49454396544818974,9
200,0.5402452950536151,9
400,0.5906712709772901,9
800,0.861175380528867,9
10,0.2215085934671055,10
25,0.24357452361247559,10
50,0.4673444240151213,10
100,0.46825361075330907,10
200,0.47738087194269607,10
400,0.4987529324968034,10
800,0.5411037168275744,10
10,0.188219564874567,11
25,0.2971075608040661,11
50,0.5723454676876648,11
100,0.6408123920694524,11
200,0.9059692991182309,11
400,0.9241893189787795,11
800,0.9474880280277973,11
10,0.022511170168788126,12
25,0.02900230756078776,12
50,0.037529525906002024,12
100,0.04170435556074095,12
200,0.08432446964461288,12
400,0.26631856392631953,12
800,0.4504576968566874,12
10,0.13096302354344155,13
25,0.15173722475636112,13
50,0.17714364323408363,13
100,0.22176059782438598,13
200,0.23637576778630848,13
400,0.26417592847723464,13
800,0.4027972400120533,13
10,0.186180039611506,14
25,0.194643716266515,14
50,0.3445327507888847,14
100,0.34749826814356977,14
200,0.8396977945746396,14
400,0.871963772994568,14
800,0.8721880094288056,14
10,0.22781844110293517,15
25,0.31408098277538254,15
50,0.31423294939340435,15
100,0.3222759640324061,15
200,0.4217715776987119,15
400,0.45945963334098444,15
800,0.47566111425880925,15
10,0.1576709129386846,16
25,0.16337691786777722,16
50,0.16633293647681868,16
100,0.2195059397357528,16
200,0.588703032696247,16
400,0.7250020554327736,16
800,0.8494749902333867,16
10,0.18896806483617545,17
25,0.25959663168449876,17
50,0.3119497118445036,17
100,0.3205227874926953,17
200,0.3845472992849289,17
400,0.3877680580892096,17
800,0.5742100457285167,17
10,0.01858235856504465,18
25,0.06854798701072708,18
50,0.33971809183246116,18
100,0.35581955336883775,18
200,0.35823721368903944,18
400,0.5085051159978431,18
800,0.5623115457235301,18
10,0.22794683145181047,19
