"Dose","Rate","Sim"
10,0.160331844295648,1
25,0.16041529623146,1
50,0.20334645817888,1
100,0.235823643910302,1
200,0.261064224451494,1
400,0.263195754892699,1
800,0.263487087296093,1
10,0.171605988103902,2
25,0.234312593228655,2
50,0.234600783800317,2
100,0.238789257183908,2
200,0.614722313275239,2
400,0.614733560517355,2
800,0.654821901843975,2
10,0.0823122296106437,3
25,0.0933753820769706,3
50,0.195498385278914,3
100,0.19628270912587,3
200,0.295516483148756,3
400,0.3189215186726,3
800,0.342862327035416,3
10,0.0683508424949553,4
25,0.0705481590527936,4
50,0.110907758204143,4
100,0.142089314121811,4
200,0.176642730339859,4
400,0.239445547649629,4
800,0.577236091077531,4
10,0.17954148296838,5
25,0.17959947669928,5
50,0.179750518449196,5
100,0.180792517916786,5
200,0.182309123258279,5
400,0.186011217571331,5
800,0.268317986198831,5
10,0.317772291627876,6
25,0.31778752402219,6
50,0.333589963773571,6
100,0.841313547073119,6
200,0.850568355421675,6
400,0.860176493588247,6
800,0.865834102411212,6
10,0.249819864390042,7
25,0.260908595121402,7
50,0.407118858612927,7
100,0.540935276132093,7
200,0.562323033035317,7
400,0.630593033469174,7
800,0.632105324118171,7
10,0.166341970069661,8
25,0.16770482652867,8
50,0.219686475708318,8
100,0.282627375268446,8
200,0.668851819437636,8
400,0.680576751253586,8
800,0.714421569197672,8
10,0.172107179193032,9
25,0.182743026853867,9
50,0.233442742124871,9
100,0.49454396544819,9
200,0.540245295053615,9
400,0.59067127097729,9
800,0.861175380528867,9
10,0.221508593467105,10
25,0.243574523612476,10
50,0.467344424015121,10
100,0.468253610753309,10
200,0.477380871942696,10
400,0.498752932496803,10
800,0.541103716827574,10
10,0.188219564874567,11
25,0.297107560804066,11
50,0.572345467687665,11
100,0.640812392069452,11
200,0.905969299118231,11
400,0.92418931897878,11
800,0.947488028027797,11
10,0.0225111701687881,12
25,0.0290023075607878,12
50,0.037529525906002,12
100,0.041704355560741,12
200,0.0843244696446129,12
400,0.26631856392632,12
800,0.450457696856687,12
10,0.130963023543442,13
25,0.151737224756361,13
50,0.177143643234084,13
100,0.221760597824386,13
200,0.236375767786308,13
400,0.264175928477235,13
800,0.402797240012053,13
10,0.186180039611506,14
25,0.194643716266515,14
50,0.344532750788885,14
100,0.34749826814357,14
200,0.83969779457464,14
400,0.871963772994568,14
800,0.872188009428806,14
10,0.227818441102935,15
25,0.314080982775383,15
50,0.314232949393404,15
100,0.322275964032406,15
200,0.421771577698712,15
400,0.459459633340984,15
800,0.475661114258809,15
10,0.157670912938685,16
25,0.163376917867777,16
50,0.166332936476819,16
100,0.219505939735753,16
200,0.588703032696247,16
400,0.725002055432774,16
800,0.849474990233387,16
10,0.188968064836175,17
25,0.259596631684499,17
50,0.311949711844504,17
100,0.320522787492695,17
200,0.384547299284929,17
400,0.38776805808921,17
800,0.574210045728517,17
10,0.0185823585650447,18
25,0.0685479870107271,18
50,0.339718091832461,18
100,0.355819553368838,18
200,0.358237213689039,18
400,0.508505115997843,18
800,0.56231154572353,18
10,0.22794683145181,19
25,0.236321083343685,19
50,0.328166784383775,19
100,0.38215414322333,19
200,0.382869566209748,19
400,0.392072973115464,19
800,0.429466291146683,19
10,0.189065761617266,20
25,0.224421122244571,20
50,0.23786556627596,20
100,0.260236039344242,20
200,0.26753333530921,20
400,0.304042118167284,20
800,0.37315873258831,20
10,0.0576730144226774,21
25,0.0722840693085065,21
50,0.0757537151819405,21
100,0.077179554022325,21
200,0.0921290366443981,21
400,0.162652520534743,21
800,0.326845212089552,21
10,0.0715907704347518,22
25,0.0896969393233852,22
50,0.164286422659585,22
100,0.165323039694125,22
200,0.190373111976526,22
400,0.23874838637149,22
800,0.260477388952984,22
10,0.193156090994963,23
25,0.200437702340671,23
50,0.411510491266197,23
100,0.413079375238632,23
200,0.432589964057458,23
400,0.451587305325303,23
800,0.481458549925592,23
10,0.188339524518145,24
25,0.293794212249292,24
50,0.293861510280671,24
100,0.300722527815828,24
200,0.429182742346076,24
400,0.459089760144811,24
800,0.67199213927049,24
10,0.106714175037198,25
25,0.115276519242791,25
50,0.148978354579737,25
100,0.17651743898636,25
200,0.183744107398795,25
400,0.275515324017856,25
800,0.499727844898931,25
10,0.257907499667449,26
25,0.26348943634414,26
50,0.270513498770761,26
100,0.290063712224597,26
200,0.386612628028095,26
400,0.419985610510669,26
800,0.432055369361711,26
10,0.157884252295161,27
25,0.19713460311717,27
50,0.210227875404439,27
100,0.214206709327643,27
200,0.227976664743981,27
400,0.256961933977119,27
800,0.257401854874996,27
10,0.0870447299840745,28
25,0.157750614926953,28
50,0.22506378083294,28
100,0.277635899414216,28
200,0.316837303865339,28
400,0.435176738502333,28
800,0.496386863848063,28
10,0.139730978173099,29
25,0.165768441423649,29
50,0.167514545050931,29
100,0.183071111397933,29
200,0.186515445331868,29
400,0.212941984441489,29
800,0.280347430426317,29
10,0.0825642926719769,30
25,0.141207637925062,30
50,0.14349404979622,30
100,0.285122961548213,30
